Date,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,E-scooter Count
07/10/2018,22,13.6,38,1.5,2000,-0.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1160
04/02/2018,0,-10.4,49,2.4,2000,-19.0,0.0,0.0,0.0,Winter,No Holiday,Yes,98
31/07/2018,20,33.5,50,2.1,2000,21.6,0.04,0.0,0.0,Summer,No Holiday,Yes,1772
15/09/2018,0,21.8,83,1.5,2000,18.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,906
10/03/2018,6,1.1,78,1.1,538,-2.3,0.0,0.0,0.0,Spring,No Holiday,Yes,74
06/03/2018,9,1.2,62,0.8,1338,-5.2,0.85,0.0,0.0,Spring,No Holiday,Yes,556
01/06/2018,6,17.5,76,1.2,1161,13.2,0.05,0.0,0.0,Summer,No Holiday,Yes,672
10/04/2018,19,19.2,55,5.8,2000,9.9,0.01,0.0,0.0,Spring,No Holiday,Yes,1153
11/09/2018,0,20.1,52,1.5,2000,9.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,910
10/07/2018,20,25.3,89,0.3,745,23.3,0.0,0.0,0.0,Summer,No Holiday,Yes,908
09/07/2018,23,20.4,96,0.6,1137,19.7,0.0,1.0,0.0,Summer,No Holiday,Yes,40
23/05/2018,0,15.8,97,2.4,181,15.3,0.0,3.5,0.0,Spring,No Holiday,Yes,32
08/05/2018,14,22.2,42,1.7,2000,8.6,2.29,0.0,0.0,Spring,No Holiday,Yes,1096
06/12/2017,14,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,Winter,No Holiday,Yes,416
17/05/2018,19,22.3,96,2.6,191,21.6,0.0,0.0,0.0,Spring,No Holiday,Yes,29
04/06/2018,23,21.4,68,2.7,972,15.2,0.0,0.0,0.0,Summer,No Holiday,Yes,1354
22/02/2018,14,4.8,50,4.3,1168,-4.7,1.01,0.0,0.0,Winter,No Holiday,Yes,331
27/07/2018,23,29.7,76,1.2,1159,25.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1182
02/02/2018,1,-5.2,56,0.9,1973,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,159
06/05/2018,0,18.7,64,3.3,1654,11.7,0.0,0.0,0.0,Spring,No Holiday,Yes,733
02/05/2018,3,18.5,82,0.8,342,15.3,0.0,0.0,0.0,Spring,No Holiday,Yes,170
27/07/2018,19,32.0,68,3.0,1286,25.3,0.38,0.0,0.0,Summer,No Holiday,Yes,1657
16/01/2018,21,4.3,56,0.7,434,-3.7,0.0,0.0,0.0,Winter,No Holiday,Yes,342
06/02/2018,23,-11.8,46,1.1,1860,-21.1,0.0,0.0,0.0,Winter,No Holiday,Yes,106
13/01/2018,16,-1.2,63,0.9,876,-7.3,0.19,0.0,0.0,Winter,No Holiday,Yes,249
05/08/2018,16,33.6,57,3.5,1901,23.8,2.19,0.0,0.0,Summer,No Holiday,Yes,818
04/12/2017,22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes,353
07/11/2018,7,10.8,91,1.3,216,9.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,526
06/01/2018,18,-0.6,37,1.6,1797,-13.5,0.01,0.0,0.0,Winter,No Holiday,Yes,271
17/05/2018,5,18.8,97,0.9,1927,18.3,0.0,0.0,0.0,Spring,No Holiday,Yes,54
14/12/2017,21,-4.8,45,0.8,1351,-14.9,0.0,0.0,0.0,Winter,No Holiday,Yes,316
07/12/2017,8,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,Winter,No Holiday,Yes,754
26/11/2018,10,5.1,70,1.2,498,0.0,0.93,0.0,0.0,Autumn,No Holiday,Yes,586
09/08/2018,15,31.2,67,2.7,1368,24.3,1.39,0.0,0.0,Summer,No Holiday,Yes,644
14/12/2017,23,-5.6,53,1.2,1290,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,211
11/10/2018,22,8.8,55,1.6,2000,0.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,1221
07/01/2018,12,1.1,34,0.9,1455,-13.0,0.6,0.0,0.0,Winter,No Holiday,Yes,278
01/05/2018,10,22.2,61,1.2,531,14.3,1.72,0.0,0.0,Spring,Holiday,Yes,1002
18/03/2018,22,8.1,76,0.8,492,4.1,0.0,0.0,0.0,Spring,No Holiday,Yes,70
26/05/2018,13,27.8,31,2.0,1326,9.1,3.29,0.0,0.0,Spring,No Holiday,Yes,1441
25/01/2018,12,-12.8,25,3.2,1981,-28.7,1.16,0.0,0.6,Winter,No Holiday,Yes,142
31/03/2018,12,18.2,38,4.2,1189,3.6,2.41,0.0,0.0,Spring,No Holiday,Yes,1072
01/04/2018,21,16.9,81,1.9,472,13.6,0.0,0.0,0.0,Spring,No Holiday,Yes,983
16/04/2018,5,5.3,73,0.8,1474,0.8,0.0,0.0,0.0,Spring,No Holiday,Yes,132
17/09/2018,23,20.2,68,1.2,1963,14.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1293
06/06/2018,14,27.4,50,3.5,615,16.0,3.01,0.0,0.0,Summer,Holiday,Yes,1603
15/07/2018,23,27.0,78,1.6,1609,22.8,0.0,0.0,0.0,Summer,No Holiday,Yes,1113
28/12/2017,9,-4.3,38,0.7,1877,-16.5,0.04,0.0,0.0,Winter,No Holiday,Yes,326
26/05/2018,17,27.9,34,3.8,1259,10.5,1.73,0.0,0.0,Spring,No Holiday,Yes,1886
16/07/2018,13,33.0,51,2.5,1100,21.5,3.09,0.0,0.0,Summer,No Holiday,Yes,727
06/08/2018,13,34.3,54,2.2,1540,23.6,2.93,0.0,0.0,Summer,No Holiday,Yes,666
27/11/2018,22,6.6,33,2.1,722,-8.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,740
14/12/2017,12,-4.9,34,1.3,1768,-18.3,0.6,0.0,0.0,Winter,No Holiday,Yes,278
01/02/2018,14,0.8,23,3.2,2000,-18.0,1.29,0.0,0.5,Winter,No Holiday,Yes,256
28/03/2018,7,9.6,82,1.1,284,6.6,0.04,0.0,0.0,Spring,No Holiday,Yes,741
11/04/2018,4,10.2,83,3.5,554,7.4,0.0,0.0,0.0,Spring,No Holiday,No,0
20/03/2018,17,4.9,43,4.3,2000,-6.6,0.42,0.0,0.0,Spring,No Holiday,Yes,719
20/11/2018,8,0.3,53,0.9,1971,-8.1,0.05,0.0,0.0,Autumn,No Holiday,Yes,1818
18/06/2018,8,22.7,65,0.7,759,15.7,1.05,0.0,0.0,Summer,No Holiday,Yes,2357
06/01/2018,9,-5.8,49,1.4,1728,-14.8,0.16,0.0,0.0,Winter,No Holiday,Yes,221
02/06/2018,12,28.3,30,3.0,1675,9.0,3.29,0.0,0.0,Summer,No Holiday,Yes,1253
31/10/2018,1,6.6,66,1.0,2000,0.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,324
20/04/2018,12,22.5,33,1.8,894,5.4,2.88,0.0,0.0,Spring,No Holiday,Yes,1019
24/02/2018,7,0.6,86,1.6,211,-1.4,0.0,0.0,0.0,Winter,No Holiday,Yes,108
11/11/2018,1,8.8,89,0.7,213,7.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,518
22/04/2018,20,13.3,80,1.8,821,9.9,0.0,1.5,0.0,Spring,No Holiday,Yes,12
04/09/2018,1,21.3,97,1.1,570,20.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,486
12/01/2018,4,-14.3,45,2.0,2000,-23.6,0.0,0.0,0.0,Winter,No Holiday,Yes,30
12/06/2018,0,18.0,94,0.7,1906,17.0,0.0,1.0,0.0,Summer,No Holiday,Yes,470
06/04/2018,15,6.8,50,4.1,660,-2.9,0.56,0.0,0.0,Spring,No Holiday,Yes,545
30/10/2018,9,3.7,49,1.9,1961,-6.0,0.89,0.0,0.0,Autumn,No Holiday,Yes,982
01/07/2018,10,21.6,97,0.5,266,21.0,0.13,12.0,0.0,Summer,No Holiday,Yes,13
12/07/2018,6,25.6,93,1.1,852,24.3,0.01,0.0,0.0,Summer,No Holiday,Yes,593
19/01/2018,23,-0.5,59,0.9,1487,-7.5,0.0,0.0,0.0,Winter,No Holiday,Yes,236
26/04/2018,5,10.2,73,0.8,1137,5.5,0.0,0.0,0.0,Spring,No Holiday,Yes,180
22/12/2017,3,-0.6,76,0.5,789,-4.3,0.0,0.0,0.7,Winter,Holiday,Yes,99
15/11/2018,8,5.3,75,1.0,808,1.2,0.1,0.0,0.0,Autumn,No Holiday,Yes,1686
03/02/2018,5,-6.3,65,3.9,1521,-11.8,0.0,0.0,0.3,Winter,No Holiday,Yes,31
25/04/2018,15,22.8,21,2.1,1542,-0.6,2.75,0.0,0.0,Spring,No Holiday,Yes,1180
13/04/2018,4,9.7,29,1.8,2000,-7.5,0.0,0.0,0.0,Spring,No Holiday,Yes,112
24/04/2018,3,9.6,94,1.3,523,8.6,0.0,2.4,0.0,Spring,No Holiday,Yes,35
13/05/2018,21,14.1,86,0.9,535,11.7,0.0,0.0,0.0,Spring,No Holiday,Yes,1571
05/09/2018,19,25.4,55,3.2,2000,15.6,0.15,0.0,0.0,Autumn,No Holiday,Yes,2468
08/02/2018,13,0.3,30,1.4,1697,-15.2,2.11,0.0,0.0,Winter,No Holiday,Yes,270
13/10/2018,1,8.5,70,0.2,1856,3.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,739
08/02/2018,3,-8.6,64,0.9,1754,-14.1,0.0,0.0,0.0,Winter,No Holiday,Yes,57
27/09/2018,1,16.1,53,1.4,2000,6.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,488
08/02/2018,10,-6.3,46,1.3,1346,-16.0,1.01,0.0,0.0,Winter,No Holiday,Yes,160
07/06/2018,4,18.1,88,1.8,458,16.0,0.0,0.0,0.0,Summer,No Holiday,Yes,191
23/08/2018,11,29.9,57,1.7,1992,20.4,0.88,0.1,0.0,Summer,No Holiday,Yes,711
10/03/2018,19,5.3,67,2.6,1314,-0.3,0.02,0.0,0.0,Spring,No Holiday,Yes,573
24/05/2018,12,22.1,36,5.3,1696,6.3,3.2,0.0,0.0,Spring,No Holiday,Yes,1087
23/01/2018,17,-10.6,38,3.5,2000,-22.2,0.38,0.0,0.9,Winter,No Holiday,Yes,239
12/05/2018,5,15.0,61,1.2,903,7.5,0.0,0.0,0.0,Spring,No Holiday,Yes,70
04/11/2018,1,8.6,60,1.1,1416,1.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,517
01/09/2018,3,21.6,87,0.3,1579,19.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,514
28/01/2018,11,-4.6,27,2.6,1887,-20.8,0.85,0.0,0.0,Winter,No Holiday,Yes,145
02/06/2018,11,27.3,35,2.3,1537,10.4,2.98,0.0,0.0,Summer,No Holiday,Yes,1094
17/05/2018,22,20.2,98,0.5,468,19.8,0.0,6.0,0.0,Spring,No Holiday,Yes,26
27/01/2018,21,-7.9,35,2.6,1878,-20.7,0.0,0.0,0.0,Winter,No Holiday,Yes,103
30/04/2018,22,18.4,78,1.6,377,14.4,0.0,0.0,0.0,Spring,No Holiday,Yes,1456
15/06/2018,7,18.2,75,1.4,2000,13.6,0.56,0.0,0.0,Summer,No Holiday,Yes,1467
